SeriesCode,GeoAreaName,TimePeriod,values
Clean Water,Canada,2001,0.9812810769839142
Clean Water,Chile,2001,0.9210562202754179
Clean Water,Colombia,2001,0.6703627233592093
Clean Water,Congo [DRC],2001,0.23858680663582682
Clean Water,Costa Rica,2001,0.8664335926825522
Clean Water,Croatia,2001,0.8836047056537597
Clean Water,Cyprus,2001,0.9514121598085219
Clean Water,Czech Republic,2001,0.961285507709768
Clean Water,Denmark,2001,0.9351624149117161
Clean Water,Ecuador,2001,0.6514727326885474
Clean Water,Estonia,2001,0.9311249238633279
Clean Water,Ethiopia,2001,0.0003126952702579833
Clean Water,Finland,2001,0.927116241995858
Clean Water,France,2001,0.9661807553199465
Clean Water,French Guiana,2001,0.8801147993288092
Clean Water,French Polynesia,2001,0.447228887996108
Clean Water,Georgia,2001,0.7347677501617362
Clean Water,Germany,2001,0.9978971400789645
Clean Water,Ghana,2001,0.08917934524722641
Clean Water,Gibraltar,2001,1.0
Clean Water,Greece,2001,0.9899224644004215
Clean Water,Greenland,2001,0.9351624149117161
Clean Water,Grenada,2001,0.7856136413364222
Clean Water,Guadeloupe,2001,0.967095499385597
Clean Water,Guam,2001,0.9928514328414358
Clean Water,Guatemala,2001,0.4446891589264774
Clean Water,Hong Kong,2001,0.8014922314571652
Clean Water,Hungary,2001,0.47960441419737465
Clean Water,Iceland,2001,0.8966085811194512
Clean Water,Iran,2001,0.9070356120379056
Clean Water,Iraq,2001,0.48008228911442996
Clean Water,Ireland,2001,0.9299266091373259
Clean Water,Israel,2001,0.9991180605491178
Clean Water,Italy,2001,0.8636746404661536
Clean Water,Japan,2001,0.9775485006240763
Clean Water,Jordan,2001,0.9361046012993361
Clean Water,Kazakhstan,2001,0.5561687027783091
Clean Water,Kuwait,2001,1.0
Clean Water,Kyrgyzstan,2001,0.4359059336082963
Clean Water,Laos,2001,0.020593938064677034
Clean Water,Latvia,2001,0.9240051658856819
Clean Water,Lebanon,2001,0.41355410979262963
Clean Water,Liechtenstein,2001,1.0
Clean Water,Lithuania,2001,0.6740240127677243
Clean Water,Luxembourg,2001,1.0
Clean Water,Macedonia [FYROM],2001,0.971977604121269
Clean Water,Malaysia,2001,0.9278233286443062
Clean Water,Malta,2001,1.0
Clean Water,Martinique,2001,0.9893007538647675
Clean Water,Mexico,2001,0.360265851962657
Clean Water,Micronesia,2001,0.7135390638298946
Clean Water,Moldova,2001,0.3935666365291792
Clean Water,Monaco,2001,1.0
Clean Water,Mongolia,2001,0.1859167896226386
Clean Water,Morocco,2001,0.5341803582999933
Clean Water,Nepal,2001,0.20261738768651447
Clean Water,Netherlands,2001,1.0
Clean Water,New Caledonia,2001,0.8552083161380725
Clean Water,New Zealand,2001,0.7699152663109118
Clean Water,Nicaragua,2001,0.46494821654872953
Clean Water,Nigeria,2001,0.11414229022684286
Clean Water,Niue,2001,0.9814595046482141
Clean Water,North Korea,2001,0.6742496496372514
Clean Water,Northern Mariana Islands,2001,0.8128944636640001
Clean Water,Norway,2001,1.0
Clean Water,Oman,2001,0.7353697989571287
Clean Water,Pakistan,2001,0.3470765042519302
Clean Water,Paraguay,2001,0.47853563564250834
Clean Water,Peru,2001,0.42641015420587225
Clean Water,Philippines,2001,0.3282004975997431
Clean Water,Portugal,2001,0.9324538261904263
Clean Water,Puerto Rico,2001,0.7373167318150194
Clean Water,Qatar,2001,0.9642513813423963
